baseline,metric,mean,std,n
full_motivational_delegation,goal_success_rate,1.0,0.0,4
full_motivational_delegation,required_process_coverage,1.0,0.0,4
full_motivational_delegation,process_believability_score,1.0,0.0,4
full_motivational_delegation,causal_trace_coverage,1.0,0.0,4
full_motivational_delegation,relationship_memory_causal_use_rate,1.0,0.0,4
full_motivational_delegation,shortcut_violation_rate,0.0,0.0,4
hard_delegation,goal_success_rate,1.0,0.0,4
hard_delegation,required_process_coverage,0.185714,0.024744,4
hard_delegation,process_believability_score,0.037143,0.004949,4
hard_delegation,causal_trace_coverage,0.0,0.0,4
hard_delegation,relationship_memory_causal_use_rate,0.0,0.0,4
hard_delegation,shortcut_violation_rate,1.0,0.0,4
no_subjective_memory,goal_success_rate,1.0,0.0,4
no_subjective_memory,required_process_coverage,0.742857,0.098974,4
no_subjective_memory,process_believability_score,0.948572,0.019795,4
no_subjective_memory,causal_trace_coverage,1.0,0.0,4
no_subjective_memory,relationship_memory_causal_use_rate,1.0,0.0,4
no_subjective_memory,shortcut_violation_rate,0.0,0.0,4
no_relationship_edge,goal_success_rate,0.0,0.0,4
no_relationship_edge,required_process_coverage,0.814286,0.024744,4
no_relationship_edge,process_believability_score,0.562857,0.004949,4
no_relationship_edge,causal_trace_coverage,0.0,0.0,4
no_relationship_edge,relationship_memory_causal_use_rate,0.0,0.0,4
no_relationship_edge,shortcut_violation_rate,0.0,0.0,4
shuffled_memory_owner,goal_success_rate,0.0,0.0,4
shuffled_memory_owner,required_process_coverage,0.814286,0.024744,4
shuffled_memory_owner,process_believability_score,0.762857,0.004949,4
shuffled_memory_owner,causal_trace_coverage,1.0,0.0,4
shuffled_memory_owner,relationship_memory_causal_use_rate,0.0,0.0,4
shuffled_memory_owner,shortcut_violation_rate,0.0,0.0,4
evidence_link_removal,goal_success_rate,0.0,0.0,4
evidence_link_removal,required_process_coverage,0.814286,0.024744,4
evidence_link_removal,process_believability_score,0.362857,0.004949,4
evidence_link_removal,causal_trace_coverage,0.0,0.0,4
evidence_link_removal,relationship_memory_causal_use_rate,0.0,0.0,4
evidence_link_removal,shortcut_violation_rate,1.0,0.0,4
